wavelength_nm,reflectance
740,0.4596421091096994
741,0.45943817011353627
742,0.4592091802869324
743,0.45876484169659204
744,0.4580697010747937
745,0.45715728659477683
746,0.45618155512597236
747,0.45524743291454567
748,0.4543938992576232
749,0.4536076932373663
750,0.4528319317024151
751,0.45188965641196216
752,0.4509144282141325
753,0.45005363187599984
754,0.4493478099513167
755,0.44877553282383686
756,0.44823554960932066
757,0.4476534042051289
758,0.4470266031437885
759,0.4464023733406584
760,0.4458684683250448
761,0.44547245331293406
762,0.44519912878822004
763,0.44499902556059556
764,0.44483648107675383
765,0.44470918607306115
766,0.4446449513320955
767,0.444670664198806
768,0.44477719826822276
769,0.4449321686662159
770,0.44508590884656274
771,0.44520214529751
772,0.4452777647798682
773,0.44532830582200156
774,0.44537181175915713
775,0.44541307891334175
776,0.4454431910471953
777,0.4454481232709625
778,0.4454195911702946
779,0.44535716451276725
780,0.4452696646453235
781,0.4451716035722783
782,0.445067990550935
783,0.4449567993827416
784,0.44482029534557194
785,0.4446447448611472
786,0.4444236308501368
787,0.4441674635953021
788,0.44389551669992017
789,0.4436229578093051
790,0.4433511255190984
791,0.44306940154258656
792,0.4427664364000074
793,0.4424461086587325
794,0.4421274777745417
795,0.44182517207521255
796,0.4415385472937324
797,0.441245563583517
798,0.4409091020351419
799,0.44051864390363177
800,0.44008645735527974
801,0.43964698099311056
802,0.43922866101263086
803,0.4388262787814682
804,0.4384132313489968
805,0.43796139603543677
806,0.43747061420339206
807,0.43696720141373996
808,0.4364918963440881
809,0.4360560195633586
810,0.43563317053030043
811,0.4351767289157287
812,0.43465338399559245
813,0.43406762810381905
814,0.43345745378536876
815,0.4328653488495313
816,0.43230004089429475
817,0.43173948150218106
818,0.43114363474405953
819,0.4304800893200623
820,0.4297596505062047
821,0.4290099153879018
822,0.428258253421252
823,0.4275104153379033
824,0.42673938756143065
825,0.4259119427399991
826,0.42501556097888427
827,0.42406295221882884
828,0.4230871959616311
829,0.42213320047713926
830,0.42121672198242915
831,0.42033622082969047
832,0.41947430518265816
833,0.4186194133535508
834,0.4177832759257063
835,0.41698971700974896
836,0.416255934459051
837,0.4155843935679184
838,0.41495653213213446
839,0.4143361737880365
840,0.4137052465606106
841,0.41305922497022235
842,0.41242263122217454
843,0.4118246863226904
844,0.41127647611280244
845,0.410768698652646
846,0.41027985598432054
847,0.4097835105923195
848,0.409277174085145
849,0.40877945862026593
850,0.4083060418162711
851,0.4078661959613077
852,0.4074382430728301
853,0.40698814811953943
854,0.4064953384931574
855,0.4059630799139474
856,0.4054183317748403
857,0.40490649128002687
858,0.40444164760947765
859,0.4040113472317479
860,0.4035842189783077
861,0.40313451427775554
862,0.402661737747493
863,0.4021848067125891
864,0.40172170774624616
865,0.40127445963645475
866,0.40082220063333185
867,0.4003321609665785
868,0.39979059168237957
869,0.3992046114506109
870,0.39859953843008705
871,0.3979931723549623
872,0.3973868982692169
