# name,calibrationbox
# scan_id,143337
# sampled_at,2020-06-04T14:33:37.539+03:00
wavelength_nm,reflectance
740,1.050718719645175
741,1.0513830808785851
742,1.0521750183441492
743,1.052631618674048
744,1.0526552128595643
745,1.0523021886167099
746,1.0518956123520626
747,1.0516446702226763
748,1.051600380250085
749,1.0516912744497398
750,1.0517530516017102
751,1.0514001042228585
752,1.0509235116857627
753,1.0506452893557836
754,1.0506432098589957
755,1.050859212638396
756,1.051045902074302
757,1.051016001568581
758,1.05075031388032
759,1.0503459573145475
760,1.049995540106777
761,1.0498024252288474
762,1.0497200525700612
763,1.0496306289216843
764,1.0494519195782912
765,1.0491900065779425
766,1.0489309308662358
767,1.048764709949834
768,1.0487009125061675
769,1.048695031768905
770,1.048659600502739
771,1.0485327893990195
772,1.0483245137799078
773,1.0480825722315352
774,1.0478568143309348
775,1.0476644084684867
776,1.047490495721027
777,1.0473081774367556
778,1.0471031698327071
779,1.0468785019785434
780,1.0466577059229734
781,1.0464779029510294
782,1.046354286301375
783,1.0462846985998435
784,1.046227548184065
785,1.0461458589675567
786,1.0460152719446545
787,1.0458484178152825
788,1.0456790842142716
789,1.0455325928653088
790,1.0454051630114027
791,1.0452660252188744
792,1.0450851924714364
793,1.04487066077178
794,1.0446694198830302
795,1.0445213183113613
796,1.0444319356533678
797,1.0443541504530998
798,1.0442041934941844
799,1.0439570196931338
800,1.0436404258282714
801,1.0433341480280163
802,1.043103823711948
803,1.0429366879176498
804,1.0427699490663898
805,1.0425394848765859
806,1.042249043528025
807,1.041969345807549
808,1.04180410184919
809,1.0417878831829008
810,1.0418588184870794
811,1.0419039264913632
812,1.0418356964848436
813,1.0416555696332912
814,1.0414433127508829
815,1.0412910003706048
816,1.0412118074690755
817,1.0411524067379672
818,1.0410206858966298
819,1.0407515105573903
820,1.0403898808520782
821,1.0400259264331155
822,1.0397483837216857
823,1.0395914076331922
824,1.0395006114383827
825,1.0393959376120654
826,1.0392348649386132
827,1.0390242654564712
828,1.0388128374300685
829,1.0386708282237336
830,1.0385972322612023
831,1.038550616030914
832,1.0384581242549988
833,1.0382704624906727
834,1.0380076740489896
835,1.0377311580700719
836,1.0374968576974166
837,1.0373291174910964
838,1.0372038900071912
839,1.03704957817912
840,1.0368343473654356
841,1.036552944805119
842,1.0362683072520604
843,1.036049418385265
844,1.0359172068598372
845,1.0358413287925954
846,1.0357622708472718
847,1.0356133397233436
848,1.0353931026790169
849,1.03515907943267
850,1.0349674376339035
851,1.0348579907348758
852,1.0347903151698663
853,1.0346867240539792
854,1.0344987990485184
855,1.0342321868132023
856,1.033948529441487
857,1.0337533365390905
858,1.0336712096814675
859,1.0336616719024918
860,1.0336380663793499
861,1.0335356492582752
862,1.0333594027436626
863,1.033169060469802
864,1.0330265341094915
865,1.0329522710101777
866,1.0329086948247093
867,1.032820014514111
868,1.0326561973286934
869,1.03243498592148
870,1.0322160794050161
871,1.0320364143080543
872,1.0318889854571383
873,1.0317317271302453
874,1.0315308034227273
875,1.0312854060955923
876,1.0310379528173588
877,1.0308294340245026
878,1.030674040021937
879,1.0305528382455893
880,1.0304285144040681
881,1.0302900348883206
882,1.0301533082672856
883,1.0300439665409227
884,1.029956230592654
885,1.0298554215980056
886,1.02970196086375
887,1.0294957863925738
888,1.0292768493037814
889,1.029098880309242
890,1.0289880539811707
891,1.0289230157946214
892,1.0288518733474927
893,1.0287406745464063
894,1.028596913044363
895,1.0284699255891196
896,1.028395419058962
897,1.0283570523732866
898,1.028304197681114
899,1.028195050541248
900,1.02802764750494
901,1.027845362408422
902,1.0276973534257534
903,1.027592533848334
904,1.027515060203016
905,1.0274177692330275
906,1.0272816183092341
907,1.0271238906146953
908,1.0269758349755194
909,1.0268586045058312
910,1.0267646282432812
911,1.0266763103473115
912,1.0265874047688421
913,1.0265251066666807
914,1.0264988854095485
915,1.0265062784787287
916,1.0265026731949554
917,1.0264398554446066
918,1.0263075469508096
919,1.0261272457410675
920,1.0259485884106967
921,1.0257989339755806
922,1.0256617075104797
923,1.0254934760629335
924,1.0252783183376055
925,1.0250536090403206
926,1.0249023724990525
927,1.0248944344789142
928,1.0250058836134206
929,1.0251513319720664
930,1.0252413558116011
931,1.0252307571327992
932,1.0251680942394175
933,1.0251223884598786
934,1.025133034401747
935,1.0251588824564302
936,1.0251142067146504
937,1.0249276544452754
938,1.0246390558197707
939,1.0243384935390891
940,1.0241091691242086
941,1.0239727396390335
942,1.0238688107584277
943,1.02374259976831
944,1.0235791656427982
945,1.0234302433719331
946,1.023368173465812
947,1.0234145548939206
948,1.023509984222791
949,1.0235856248956
950,1.0235899237376305
951,1.0235615214344946
952,1.0235645788110972
953,1.0236285672665437
954,1.0237189494267087
955,1.0237523049322315
956,1.0236583192583193
957,1.0234737999035846
958,1.023286755206331
959,1.023180088644921
960,1.0231852797807033
961,1.0232323220026025
962,1.0232440852161209
963,1.023167873997639
964,1.0230362556524943
965,1.022912076632039
966,1.022847830993365
967,1.0228132200382933
968,1.0227615080973562
969,1.0226678196064423
970,1.0225381922440266
971,1.022418295005043
972,1.0223394259550378
973,1.022327416610095
974,1.0223680060697649
975,1.0224517239906847
976,1.0225637859532184
977,1.0226831595543684
978,1.02277255342785
979,1.0227936141380736
980,1.0227558445784972
981,1.0226901559585697
982,1.022634327956812
983,1.022599513270739
984,1.0225412798907902
985,1.0224349201502596
986,1.022307070133675
987,1.0222353140181053
988,1.0222975271779826
989,1.0224631074523323
990,1.0226199442046504
991,1.0226533972879062
992,1.0225244226147097
993,1.022313411636222
994,1.0221720470372713
995,1.0221474326068645
996,1.0221761207793016
997,1.0221498927604633
998,1.021977951684714
999,1.0217668136673443
1000,1.0216471579592958
1001,1.0217054016283584
1002,1.0219384190318528
1003,1.0221989265390001
1004,1.0223475370872401
1005,1.0223373220551473
1006,1.0222178035569978
1007,1.022040694374854
1008,1.0218749796784574
1009,1.021680972800542
1010,1.0214643424647358
1011,1.021258912556252
1012,1.0210850295813538
1013,1.0209944944035092
1014,1.020972060005721
1015,1.0210160031117426
1016,1.0211162339373518
1017,1.0213045082140915
1018,1.021565296567925
1019,1.0218236813379684
1020,1.0219511724479744
1021,1.0218386855411516
1022,1.0215086481482434
1023,1.0210652308865364
1024,1.0206647077902549
1025,1.0203791592331408
1026,1.020192736259245
1027,1.0200184953299236
1028,1.0198108627300164
1029,1.0196537373437289
1030,1.0196679103636448
1031,1.019928975665468
1032,1.0203014886329296
1033,1.0205630800628114
1034,1.0205311583227112
1035,1.0201902729494945
1036,1.0197337726172813
1037,1.0193848833279826
1038,1.01921126353716
1039,1.0191731504802637
1040,1.0190707778653703
1041,1.018738722689772
1042,1.018341910729413
1043,1.0181160063356092
1044,1.0182049537479274
1045,1.0185399944950255
1046,1.0188082412794055
1047,1.0187619786754105
1048,1.0185372016930918
1049,1.0181499179964273
1050,1.017862296065202
1051,1.0179932722641254
1052,1.0183508382818434
1053,1.0186173694244265
1054,1.0186628939313243
1055,1.0185802079997137
1056,1.01843861950859
1057,1.018508857345155
1058,1.0185263352069087
1059,1.0184548908005548
1060,1.0180691618674869
1061,1.0168713348163696
1062,1.016057224122465
1063,1.0159746775499072
1064,1.0166288214603696
1065,1.0175806080658614
1066,1.0186913748904032
1067,1.019064230462002
1068,1.0185778740935307
1069,1.0176518396084324
1070,1.0171369349301185
