# name,soilcrust
# scan_id,143557
# sampled_at,2020-06-04T14:35:57.418+03:00
wavelength_nm,reflectance
740,0.46150617913827063
741,0.46278256848698335
742,0.4638362615469723
743,0.46451639708144826
744,0.4648833696413216
745,0.46504721122443293
746,0.46520739343077694
747,0.46549194913785086
748,0.4659161658332543
749,0.4664145753122702
750,0.4668595918437589
751,0.46718712628825304
752,0.46747008558608283
753,0.467767959796542
754,0.46805723271537264
755,0.46828882511907277
756,0.46835356472952966
757,0.46819434134960203
758,0.46785279435166466
759,0.46744175142339905
760,0.4671182915718125
761,0.46700293842142154
762,0.46711423079166187
763,0.46742865308735065
764,0.4678931748913339
765,0.46847669491891863
766,0.4691653568537887
767,0.46993880902461965
768,0.4707460518851942
769,0.4715202453778921
770,0.47218871481226626
771,0.4727029083206737
772,0.47306215692113546
773,0.4732947499211526
774,0.47344739830810056
775,0.4735610549280879
776,0.473667921988556
777,0.4737906230269639
778,0.47394326681593196
779,0.4741336325106351
780,0.47436242855635474
781,0.47462892632418896
782,0.47492060713603157
783,0.4752203249747063
784,0.47549866061707635
785,0.4757342015638456
786,0.4759171262799403
787,0.4760595984259824
788,0.476189405227143
789,0.476330741182514
790,0.4764955548176519
791,0.47667701631660686
792,0.4768638583331688
793,0.47705535165617907
794,0.4772652201567205
795,0.477503377163275
796,0.47776557530979513
797,0.478023489916188
798,0.47823752824819693
799,0.47839644057616076
800,0.4785171106590216
801,0.4786407951936499
802,0.4788005030233702
803,0.4789914420761346
804,0.479179838877066
805,0.4793300276798258
806,0.4794315135183626
807,0.4795097126804757
808,0.47960136719667384
809,0.4797198650681466
810,0.47983483766711016
811,0.47990257956202
812,0.4798922598228654
813,0.479822275525323
814,0.47974451587335765
815,0.4797170764031906
816,0.4797580455455359
817,0.479852722197634
818,0.479962776667866
819,0.4800573843934472
820,0.48014820011766085
821,0.48026592632792753
822,0.4804351689132298
823,0.4806575444265423
824,0.4808966763028791
825,0.48110813601533226
826,0.48127012910600997
827,0.48138363593320466
828,0.4814771218461884
829,0.4815891251246155
830,0.4817277309736921
831,0.48188248507687
832,0.48202729876443995
833,0.4821458670216123
834,0.48225111495949946
835,0.4823721661001264
836,0.48253217562724343
837,0.48273787574394994
838,0.48297058162482126
839,0.483188505285408
840,0.48337029704851064
841,0.4835046360872364
842,0.4836170535595049
843,0.48373615209362475
844,0.4838694795187403
845,0.4840020891249928
846,0.48410587761543467
847,0.48415803076884917
848,0.484164430731595
849,0.48415956032550245
850,0.48417974932290736
851,0.48424848263007986
852,0.4843531560966518
853,0.4844560123889801
854,0.4845355886780441
855,0.48459066389759947
856,0.484646455992431
857,0.4847453636354392
858,0.4848920138348532
859,0.4850641072863855
860,0.48521436918348027
861,0.4853158940004044
862,0.48537370498610893
863,0.4854197051242582
864,0.4854915091816016
865,0.48560293729442666
866,0.48574807718241675
867,0.4858894704431768
868,0.48601436952862287
869,0.4861268480023367
870,0.48625080421136435
871,0.48639560213693545
872,0.4865499830361554
873,0.48668493045825895
874,0.48678352322197227
875,0.48684350247578295
876,0.48688846872914426
877,0.48694548871398646
878,0.48703071914138596
879,0.48714270171874885
880,0.48727555670344785
881,0.48742513887390526
882,0.48760244147664444
883,0.48781557613109816
884,0.4880557735441941
885,0.4882936352028358
886,0.4884915954224002
887,0.48863088580708325
888,0.48871633893700034
889,0.48876115150659966
890,0.48877491908139636
891,0.48874774683430355
892,0.4886654597353564
893,0.48852682901623856
894,0.4883532412194516
895,0.48819085063430967
896,0.48807872628900867
897,0.48803021191764884
898,0.48803517397829077
899,0.48807863188844264
900,0.4881549696921069
901,0.4882737524256625
902,0.4884389297579621
903,0.4886376035884853
904,0.4888401257394164
905,0.4890089699965246
906,0.48912329511760216
907,0.4891876571651436
908,0.48921821296414064
909,0.4892397873568686
910,0.4892650953683619
911,0.4893125850582367
912,0.4893994659072797
913,0.4895581964400668
914,0.4898014929353397
915,0.49012821903400505
916,0.49050934585015205
917,0.4909043423825105
918,0.49128147283374274
919,0.491620301713869
920,0.4919091285724569
921,0.4921264010787237
922,0.4922372042464106
923,0.492200119241162
924,0.4920011675118641
925,0.491662104048874
926,0.4912396589872551
927,0.4907933776688692
928,0.49034542280443755
929,0.4898927958811576
930,0.4894357550075291
931,0.4889891176924825
932,0.4886108027518679
933,0.4883576706513722
934,0.48826394706738147
935,0.4883117195971817
936,0.48845053584853027
937,0.488626111379246
938,0.48883423629347184
939,0.48908824021753267
940,0.4894010200123826
941,0.4897562305451494
942,0.490103407203171
943,0.49040042708369813
944,0.49063055888290275
945,0.4908172569765883
946,0.49100177693877384
947,0.4912050718399144
948,0.491410479356427
949,0.49159930229461263
950,0.4917588201075752
951,0.4919201440296541
952,0.49212560549289247
953,0.49239845152143424
954,0.4927300620873896
955,0.4930839783398321
956,0.4934265182174977
957,0.4937741002600053
958,0.49416508124596153
959,0.4946340882638513
960,0.4951919967652386
961,0.49579986499666917
962,0.4964151744346384
963,0.4970026274822377
964,0.4975674691399968
965,0.4981287059986001
966,0.49870279712921556
967,0.499267321957041
968,0.49979800091511906
969,0.5002825046145875
970,0.5007241620885197
971,0.5011457794962746
972,0.5015646368614504
973,0.5019981973408867
974,0.5024469829997809
975,0.5029151220827858
976,0.5034023955762742
977,0.503904178675769
978,0.5044006922256696
979,0.5048716395030963
980,0.5053207944532216
981,0.5057619487354515
982,0.5062110662207386
983,0.5066710577800753
984,0.5071138581672143
985,0.5075222921682219
986,0.5079037899501371
987,0.5082940852058445
988,0.5087287416526777
989,0.5091920135123906
990,0.5096251344169973
991,0.5099693540967907
992,0.5102033206371924
993,0.5103700045010471
994,0.5105489848230635
995,0.5107707203448649
996,0.5110119338456836
997,0.5112217047769857
998,0.5113630581812736
999,0.5114873486921958
1000,0.511662083782354
1001,0.5119302825931512
1002,0.512294181161391
1003,0.5126829768253817
1004,0.5130273046030318
1005,0.5132993589753365
1006,0.5135205430946297
1007,0.5137145238426291
1008,0.5139132358187891
1009,0.514092720478269
1010,0.5142572907622237
1011,0.5144217353631897
1012,0.5145948045242346
1013,0.5147978859055702
1014,0.5150247985866113
1015,0.5152783986722883
1016,0.5155604904379463
1017,0.515895591203971
1018,0.5162753400112507
1019,0.5166701188090647
1020,0.5170055733051142
1021,0.5172258805214108
1022,0.5173338619986414
1023,0.5173781094409059
1024,0.5174278076493649
1025,0.517522275719729
1026,0.5176433984427324
1027,0.5177478950325912
1028,0.5178198892651895
1029,0.5179082891633126
1030,0.5180837997220415
1031,0.518395218992643
1032,0.5187689208087656
1033,0.5190930698988946
1034,0.5192790415693916
1035,0.5193069301390515
1036,0.5192775542088919
1037,0.5192953071700552
1038,0.5193859508028696
1039,0.5195227792189288
1040,0.5196043947008078
1041,0.5195504657440227
