"wavelength","reflectance"
324,1.06959706959707
326,0.986217457886677
328,1.00133333333333
330,1.04726368159204
332,0.919652551574376
334,1.05755395683453
335,0.946413137424373
337,1.00805152979066
339,0.979865771812081
341,1.00927152317881
343,0.993556701030928
345,0.995882352941176
347,1.03474903474903
349,0.976081424936387
351,1.00635386119257
352,0.986685032139578
354,1.00263388937665
356,1.0188363331938
358,1.0124248496994
360,0.998129442573887
362,1.01167457132433
364,1.04927842309046
366,1.01577909270217
368,1.00342785914615
369,1.00382015868351
371,1.02345295281153
373,1.00394011032309
375,1.02621722846442
377,1.02334444973797
379,1.01566637246249
381,1.0116303219107
383,1.01549019607843
384,1.0216386166081
386,1.00534206444942
388,1.01299555848001
390,1.00324124093224
392,1.01363236587511
394,1.01340407707344
396,1.00411850670918
398,1.00532117065754
400,1.01391072940607
401,1.01356364479481
403,1.00489868626141
405,1.01492696449515
407,1.00633299284985
409,1.00790938384923
411,1.0153991497402
413,1.0085701398286
415,1.01267911419887
416,1.01622257712028
418,1.01613163413454
420,1.0086307441101
422,1.01101701266582
424,1.01077225416697
426,1.01686900056465
428,1.00947253645904
430,1.01457958857599
431,1.00648267008986
433,1.0076398021166
435,1.01262796542635
437,1.01449796309609
439,1.00889669300556
441,1.01525929325379
443,1.01161876964526
445,1.01369260379434
446,1.01305749596991
448,1.01574844622353
450,1.01171875
452,1.01034292313099
454,1.00754512279317
456,1.00833694761698
458,1.00877565463553
460,1.00969663388281
461,1.01507172689305
463,1.01032618330083
465,1.00828238150991
467,1.0086294847815
469,1.00977484439617
471,1.01230351411406
473,1.01461183518174
474,1.01359510576193
476,1.01031536674672
478,1.01158301158301
480,1.00880240908038
482,1.01170978111128
484,1.00885190088897
486,1.01040453743004
488,1.01162184310512
489,1.01276328894463
491,1.01059670405963
493,1.01048773406881
495,1.01105469734615
497,1.01354693043759
499,1.01003273089512
501,1.01119693855857
502,1.01119087837838
504,1.00969993021633
506,1.00897809206877
508,1.0110703636426
510,1.00896724417975
512,1.00881734077018
514,1.00993649853585
515,1.01323967370193
517,1.01156436650146
519,1.00893771529653
521,1.01001583049196
523,1.01099163679809
525,1.01015599847806
527,1.01092785883167
528,1.00941143019619
530,1.011530781562
532,1.01237837687139
534,1.01036971490197
536,1.00949367088608
538,1.01138582547235
540,1.01113616366036
541,1.01004706983402
543,1.01341649341649
545,1.01001112347052
547,1.01144984742868
549,1.0123700858563
551,1.01254801536492
552,1.01049492458565
554,1.0090677327771
556,1.01078316773816
558,1.009587389348
560,1.01169174159471
562,1.01050332156323
563,1.00972192868573
565,1.01143865413282
567,1.01166968645395
569,1.01028666749042
571,1.0100274040857
573,1.00975716885236
574,1.01326218068142
576,1.00877416073245
578,1.01228878648233
580,1.01053615156592
582,1.01379198442317
584,1.01202581149785
585,1.00791651673264
587,1.009694012134
589,1.01104917380052
591,1.01030377805195
593,1.01356615177972
595,1.00969403211148
596,1.01267409942729
598,1.01326530612245
600,1.01079382429294
602,1.01061862026444
604,1.01192034727486
606,1.01088559589859
607,1.01231046931408
609,1.01012789236342
611,1.01084671971176
613,1.01183229341044
615,1.00905776242564
616,1.00996537129665
618,1.0103756846409
620,1.00976532345222
622,1.01086077411901
624,1.01016469868929
626,1.01012947448591
627,1.01157275659268
629,1.01058761249338
631,1.00907578278627
633,1.01116409324856
635,1.01110392820474
636,1.01085383502171
638,1.01113705078648
640,1.01001573352776
642,1.01194743130227
644,1.0127863406343
645,1.00870170553428
647,1.0095508017238
649,1.0089060008556
651,1.00784512704422
653,1.00909518582406
654,1.00973974763407
656,1.0111855935901
658,1.00949303976706
660,1.01267662494954
662,1.00920083051744
663,1.01141232696111
665,1.01035472200274
667,1.00846422706026
669,1.01122247922556
671,1.01164306195152
672,1.0085059497576
674,1.00884165401447
676,1.01457128546059
678,1.01057568512047
680,1.00883053777508
681,1.01251125539074
683,1.00820222563315
685,1.00839520551269
687,1.01157407407407
688,1.01358614511795
690,1.01152433194102
692,1.01063288563289
694,1.01262756416864
696,1.01268784774583
697,1.01022667369531
699,1.00687340153453
701,1.01009283246978
703,1.01045944909917
704,1.01380266075388
706,1.01407261469181
708,1.01216239365043
710,1.01416758225872
712,1.0068804664723
713,1.00778807009263
715,1.01235014157479
717,1.01541001651073
719,1.01067991307048
720,1.00627982918865
722,1.01414218979971
724,1.01459427904262
726,1.01068082039185
727,1.01324106726994
729,1.01642212949253
731,1.00893648952862
733,1.00727822026916
735,1.01179179458554
736,1.01264660166737
738,1.01155281285878
740,1.01215014102842
742,1.01154633148202
743,1.01277533039648
745,1.00894350323566
747,1.01050964583933
749,1.0112733976177
750,1.00787566211319
752,1.00986547085202
754,1.01176551063684
756,1.01131329653104
757,1.00883572350982
759,1.01195274496178
761,1.01028043919155
763,1.0078276481149
764,1.01627393225331
766,1.01059081624934
768,1.00944279694085
769,1.01409925878182
771,1.00595533498759
773,1.01647220315717
775,1.01540504648074
776,1.01127272727273
778,1.00194805194805
780,1.01055560886671
782,1.01442260199546
783,1.01202627589692
785,1.00847370052702
787,1.01625158294639
789,1.00882384590552
790,1.014440433213
